4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J1757.6-2731,unID-pulsar,-1.551,2.558,12.037,6.170,,unID,"{1,2,4,9,14}",0.159,,0.981,2.520,0.893,,0.447,0.438,0.990
4FGL J1757.6-2539,unID-pulsar,-0.623,4.177,6.237,4.628,,unID,{12},0.070,,4.170,1.218,1.972,,,,0.670
4FGL J1757.7-2337,spp-bll,0.374,5.955,8.544,8.001,spp,spp,{},0.113,,1.423,4.604,0.302,,1.261,0.177,0.330
4FGL J1757.7-6032,unID-pulsar,-17.187,332.985,5.492,21.668,,unID,{},0.037,,3.109,0.899,0.768,,0.426,0.208,0.600
4FGL J1757.8-1802,unID-pulsar,3.149,10.810,6.973,4.574,,unID,"{4,5,14}",0.129,,0.541,0.898,0.594,,0.358,0.369,0.900
4FGL J1757.9-2419,psr,-0.024,5.370,13.405,6.638,PSR,psr,"{1,3,4,5,9}",0.115,pulsar,0.206,33.914,0.252,,0.270,0.164,0.830
4FGL J1758.0-2953,unID-pulsar,-2.813,0.559,7.583,6.806,,unID,{14},0.081,,2.250,1.067,1.815,,0.433,0.741,0.980
4FGL J1758.2+6532,unID-bll,29.989,95.205,13.750,6.302,bcu,unID,{},0.167,,0.901,0.035,0.645,,0.471,0.467,0.070
4FGL J1758.3+1429,unID-bll,18.183,40.272,23.668,8.658,bcu,unID,{},0.084,,0.814,0.131,0.239,,0.775,0.169,0.020
4FGL J1758.3-3028,unID-bll,-3.167,0.094,16.949,11.923,bcu,unID,{},0.054,,0.439,2.960,0.205,,0.520,0.123,0.160
4FGL J1758.5-3219,unID-pulsar,-4.116,358.491,15.048,4.672,,unID,"{4,14}",0.500,,1.073,0.903,1.896,,0.272,0.863,0.990
4FGL J1758.6-2404,unID-bll,-0.037,5.663,21.808,11.625,unk,unID,{},0.045,,0.757,16.067,0.180,,0.972,0.105,0.140
4FGL J1758.7-1621,unID-pulsar,3.798,12.377,28.437,10.689,bcu,unID,{3},0.083,,0.670,4.476,0.844,,0.187,0.273,0.680
4FGL J1758.7-4109,unID-bll,-8.480,350.772,22.098,19.008,,unID,{},0.035,,0.576,2.202,0.274,,0.271,0.091,0.040
4FGL J1758.8-2326,unID-pulsar,0.251,6.240,8.585,8.034,,unID,{5},0.068,,1.528,8.413,0.515,,1.024,0.260,0.970
4FGL J1759.0-0107,unID-fsrq,11.109,25.868,9.114,4.377,,unID,{},0.214,,0.100,3.644,0.374,,0.150,0.329,0.210
4FGL J1759.1-2347,unID-bll,0.016,5.962,6.033,6.153,unk,unID,"{1,5,6}",0.072,,0.792,8.862,0.252,,0.952,0.139,0.380
4FGL J1759.1-4822,unID-fsrq,-11.954,344.334,207.525,15.821,bcu,unID,{},0.044,,0.624,0.960,0.270,,0.325,0.108,0.000
4FGL J1759.1-3849,unID-pulsar,-7.417,352.869,22.667,16.016,bcu,unID,{},0.041,,1.301,1.938,0.711,,0.281,0.195,0.790
4FGL J1759.2-0243,unID-pulsar,10.317,24.442,9.275,6.230,,unID,{1},0.196,,0.610,1.908,1.574,,0.164,0.614,0.950
4FGL J1759.5-2312,unID-pulsar,0.215,6.525,10.526,5.116,unk,unID,"{1,4,5,14}",0.186,,0.465,30.119,0.510,,0.281,0.200,0.980
4FGL J1759.6-1850,unID-pulsar,2.367,10.329,5.862,4.654,,unID,"{4,14}",0.167,,0.737,1.598,0.917,,0.367,0.539,0.970
4FGL J1759.7-2141,unID-pulsar,0.940,7.853,13.592,15.158,unk,unID,"{3,14}",0.041,,1.171,14.687,0.543,,0.403,0.169,0.980
4FGL J1759.7-2354,unID-pulsar,-0.168,5.945,9.222,7.697,,unID,"{2,5}",0.062,,0.795,49.471,0.427,,0.450,0.148,0.960
4FGL J1759.8-1250,unID-pulsar,5.303,15.576,7.904,6.786,,unID,{14},0.063,,1.126,0.721,0.681,,0.571,0.361,0.970
4FGL J1800.1+2812,unID-bll,22.933,54.021,13.862,7.789,bcu,unID,{3},0.057,,33.259,0.017,0.020,,400.371,0.150,0.000
4FGL J1800.1-2417,unID-pulsar,-0.431,5.641,14.175,4.614,,unID,"{3,6}",0.064,,22.363,1.337,1.604,,6.555,0.771,0.510
4FGL J1800.1+7037,bll-bll,29.716,101.070,29.259,10.915,bll,bll,{},0.079,bll,2.772,0.063,0.186,,2.354,0.170,0.000
4FGL J1800.1-0323,unID-fsrq,9.792,23.957,16.025,6.879,,unID,"{3,4,5}",0.071,,0.265,2.017,0.366,,0.297,0.223,0.150
4FGL J1800.2-2952,unID-pulsar,-3.213,0.809,7.887,6.887,,unID,"{1,5,14}",0.143,,1.062,2.019,1.482,,0.268,0.637,1.000
4FGL J1800.2-2403,unID-fsrq,-0.340,5.857,4.965,4.774,,unID,"{5,6}",0.052,,0.100,1.298,0.019,,2.175,0.102,0.000
4FGL J1800.3-5237,unID-bll,-14.066,340.542,9.678,5.168,,unID,{3},0.072,,1.611,0.031,0.409,,1.888,0.434,0.080
4FGL J1800.5-2910,unID-pulsar,-2.922,1.447,2.666,6.127,,unID,"{4,5,14}",0.090,,0.863,0.845,0.560,,0.579,0.322,0.940
4FGL J1800.6+7828,bll-bll,29.068,110.038,1270.268,144.000,bll,bll,{},0.011,bll,0.100,191.366,0.081,,0.032,0.013,0.000
4FGL J1800.7-2355,unID-bll,-0.372,6.027,5.331,9.993,unk,unID,{},0.039,,1.759,12.490,0.194,,1.995,0.120,0.370
4FGL J1800.9-2407,unID-pulsar,-0.511,5.877,9.575,10.818,,unID,{5},0.047,,0.677,40.876,0.256,,0.520,0.109,0.660
4FGL J1801.0-3402,unID-fsrq,-5.420,357.246,9.378,4.159,,unID,{4},0.097,,0.699,0.216,0.379,,0.646,0.290,0.160
4FGL J1801.0-2802,unID-pulsar,-2.466,2.494,6.877,8.602,,unID,"{4,14}",0.086,,1.008,2.742,1.062,,0.287,0.375,0.990
4FGL J1801.1-3740,unID-pulsar,-7.195,354.064,4.339,4.946,,unID,"{3,4,14}",0.139,,0.679,0.480,1.624,,0.199,0.685,0.700
4FGL J1801.1-2626,unID-pulsar,-1.698,3.898,19.142,8.995,,unID,{12},0.058,,3.557,2.252,1.997,,,,0.690
4FGL J1801.2-2450,psr,-0.932,5.293,6.882,18.734,PSR,psr,{3},0.054,pulsar,0.843,51.264,0.484,,0.271,0.123,1.000
4FGL J1801.3-2326,snr-pulsar,-0.251,6.527,11.026,30.699,SNR,snr,{},0.000,,0.668,3917.602,0.227,,0.197,0.033,0.510
4FGL J1801.4-4307,unID-fsrq,-9.851,349.246,10.332,5.741,,unID,{1},0.170,,0.393,0.418,0.669,,0.231,0.334,0.270
4FGL J1801.5+4404,fsrq-fsrq,27.089,70.944,1395.070,55.728,fsrq,fsrq,{},0.020,fsrq,0.103,21.358,0.150,,0.056,0.034,0.000
4FGL J1801.6-1418,msp,4.192,14.504,8.337,7.120,msp,msp,{1},0.189,pulsar,0.496,6.133,1.524,,0.113,0.481,0.940
