4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0030.3-4224,fsrq-blazar,-74.124,317.268,545.140,52.354,fsrq,0.999,fsrq,{},0.032,blazar,0.100,21.600,0.122,-0.654,0.021,0.042,0.000
4FGL J0030.4+0451,msp,-57.613,113.134,13.361,140.184,MSP,1.000,msp,{},0.013,pulsar,1.200,417.254,0.854,-0.520,0.028,0.037,1.000
4FGL J0030.6-0212,fsrq-blazar,-64.579,110.743,883.500,53.719,fsrq,0.988,fsrq,{},0.026,blazar,0.193,19.621,0.247,-0.500,0.062,0.046,0.000
4FGL J0030.6+0539,unID-blazar,-56.827,113.453,9.226,4.134,,0.190,unID,{5},0.283,,0.100,5.101,0.061,-0.446,,0.228,0.000
4FGL J0030.9-3618,unID-blazar,-79.838,327.037,22.927,6.286,,0.000,unID,{2},0.088,,1000.000,0.112,-0.066,-0.719,,0.120,0.000
4FGL J0031.0-2327,unID-pulsar,-84.106,70.318,6.942,10.294,,0.450,unID,{},0.111,,2.030,0.061,1.318,-0.691,0.422,0.719,0.750
4FGL J0031.3+0726,bll-blazar,-55.086,114.196,16.408,8.389,bll,0.990,bll,{},0.065,blazar,7.793,0.026,0.179,-0.348,7.739,0.183,0.010
4FGL J0031.5-5648,unID-blazar,-60.111,308.383,17.875,7.580,,0.000,unID,{},0.112,,8.585,0.024,0.327,-0.598,6.290,0.301,0.020
4FGL J0032.3-5522,bcu_unk-blazar,-61.549,308.639,321.938,13.041,bcu,0.999,bcu_unk,{},0.040,,0.797,0.270,0.406,-0.586,0.230,0.134,0.020
4FGL J0032.3-5539,unID-blazar,-61.257,308.520,11.875,4.948,,0.000,unID,{},0.042,,173.101,0.048,0.392,-0.582,331.626,0.450,0.000
4FGL J0032.4-2849,bll-blazar,-85.475,9.845,27.041,6.955,bll,0.994,bll,{},0.125,blazar,0.363,0.036,0.211,-0.677,0.676,0.236,0.000
4FGL J0032.5-4724,bcu_unk-blazar,-69.391,312.016,14.567,5.595,bcu,0.990,bcu_unk,{},0.068,,20.859,0.017,0.502,-0.684,15.365,0.343,0.000
4FGL J0033.3-2040,bll-blazar,-82.336,89.421,9.560,6.026,bll,0.994,bll,{},0.056,blazar,58.039,0.013,0.163,-0.698,165.929,0.217,0.000
4FGL J0033.5-1921,bll-blazar,-81.217,94.186,101.912,76.818,bll,1.000,bll,{},0.013,blazar,22.004,24.591,0.156,-0.683,6.929,0.026,0.000
4FGL J0033.9+3858,bcu_unk-blazar,-23.774,119.215,33.019,11.054,bcu,0.986,bcu_unk,{2},0.145,,1.027,0.115,0.467,-0.220,0.472,0.261,0.050
4FGL J0034.0-4116,bcu_unk-blazar,-75.413,316.001,141.858,14.901,bcu,0.996,bcu_unk,{},0.067,,0.100,1.595,-0.017,-0.580,,0.105,0.000
4FGL J0034.3-0534,msp,-68.073,111.504,9.411,66.414,MSP,1.000,msp,{},0.022,pulsar,0.816,21.887,0.518,-0.458,0.060,0.053,1.000
4FGL J0034.6+6438,unID-blazar,1.826,121.134,16.907,9.882,,0.000,unID,{3},0.069,,0.584,0.999,0.325,0.957,0.503,0.167,0.330
